scope,metric,n_pairs,mean_A,mean_reduced,mean_diff_A_minus_reduced,cohen_dz,wilcoxon_p_two_sided
dag,actionable_recommendations,9,7.333333333333333,7.444444444444445,-0.1111111111111111,-0.07647191129018725,1.0
dag,comparison_efficiency,9,7.777777777777778,7.222222222222222,0.5555555555555556,0.4494665749754947,0.375
dag,confidence,9,7.555555555555555,7.444444444444445,0.1111111111111111,0.0875376219064817,0.671875
dag,divergence_understanding,9,7.222222222222222,5.888888888888889,1.3333333333333333,0.8040302522073696,0.125
dag,effort,9,2.888888888888889,2.4444444444444446,0.4444444444444444,0.3121097258563481,0.75
dag,evidence_findability,9,7.444444444444445,7.555555555555555,-0.1111111111111111,-0.09523809523809523,1.0
dag,frustration,9,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.5039526306789696,0.5
dag,less_manual_log_search,0,,,,,
dag,mental_demand,9,3.2222222222222223,3.5555555555555554,-0.3333333333333333,-0.14213381090374028,0.765625
dag,nasa_workload_5d,9,2.611111111111111,2.4074074074074074,0.20370370370370378,0.23224899691383014,0.921875
dag,performance,9,7.333333333333333,7.111111111111111,0.2222222222222222,0.0776296679652776,1.0
dag,physical_demand,9,2.111111111111111,1.5555555555555556,0.5555555555555556,0.5479966243511909,0.25
dag,reasoning_panel_helpful,0,,,,,
dag,step_pinpointing,9,6.777777777777778,6.444444444444445,0.3333333333333333,0.2981423969999719,0.5625
dag,temporal_demand,9,3.0,2.4444444444444446,0.5555555555555556,0.4494665749754948,0.21875
evidence,actionable_recommendations,0,,,,,
evidence,comparison_efficiency,0,,,,,
evidence,confidence,9,7.333333333333333,6.0,1.3333333333333333,0.7396002616336388,0.078125
evidence,divergence_understanding,0,,,,,
evidence,effort,9,2.3333333333333335,4.888888888888889,-2.5555555555555554,-1.4115477474440958,0.00390625
evidence,evidence_findability,9,7.777777777777778,4.555555555555555,3.2222222222222223,2.3107753113798273,0.00390625
evidence,frustration,9,1.2222222222222223,3.2222222222222223,-2.0,-0.7427813527082074,0.09375
evidence,less_manual_log_search,9,8.222222222222221,4.222222222222222,4.0,1.5689290811054724,0.0078125
evidence,mental_demand,9,3.0,5.0,-2.0,-0.9428090415820635,0.0390625
evidence,nasa_workload_5d,9,2.2592592592592595,4.148148148148149,-1.8888888888888888,-1.0017346066809423,0.03125
evidence,performance,9,7.888888888888889,6.111111111111111,1.7777777777777777,0.6871004014942195,0.09375
evidence,physical_demand,9,1.7777777777777777,3.111111111111111,-1.3333333333333333,-0.628539361054709,0.1875
evidence,reasoning_panel_helpful,9,8.222222222222221,5.333333333333333,2.888888888888889,0.838818792059434,0.03125
evidence,step_pinpointing,9,7.555555555555555,4.777777777777778,2.7777777777777777,1.073594377334718,0.0078125
evidence,temporal_demand,9,2.111111111111111,3.7777777777777777,-1.6666666666666667,-0.7453559924999299,0.09375
pooled,actionable_recommendations,9,7.333333333333333,7.444444444444445,-0.1111111111111111,-0.07647191129018725,1.0
pooled,comparison_efficiency,9,7.777777777777778,7.222222222222222,0.5555555555555556,0.4494665749754947,0.375
pooled,confidence,18,7.444444444444445,6.722222222222222,0.7222222222222222,0.44092018593704846,0.0574951171875
pooled,divergence_understanding,9,7.222222222222222,5.888888888888889,1.3333333333333333,0.8040302522073696,0.125
pooled,effort,18,2.611111111111111,3.6666666666666665,-1.0555555555555556,-0.47787235279125895,0.0380859375
pooled,evidence_findability,18,7.611111111111111,6.055555555555555,1.5555555555555556,0.7335623321098481,0.0078125
pooled,frustration,18,1.0,1.8888888888888888,-0.8888888888888888,-0.4052791725828859,0.1953125
pooled,less_manual_log_search,9,8.222222222222221,4.222222222222222,4.0,1.5689290811054724,0.0078125
pooled,mental_demand,18,3.111111111111111,4.277777777777778,-1.1666666666666667,-0.5001501276118503,0.053131103515625
pooled,nasa_workload_5d,18,2.435185185185185,3.277777777777778,-0.8425925925925926,-0.4714396849251608,0.080657958984375
pooled,performance,18,7.611111111111111,6.611111111111111,1.0,0.36162028533978946,0.173828125
pooled,physical_demand,18,1.9444444444444444,2.3333333333333335,-0.3888888888888889,-0.20652440473005595,0.5546875
pooled,reasoning_panel_helpful,9,8.222222222222221,5.333333333333333,2.888888888888889,0.838818792059434,0.03125
pooled,step_pinpointing,18,7.166666666666667,5.611111111111111,1.5555555555555556,0.6744022944937649,0.007568359375
pooled,temporal_demand,18,2.5555555555555554,3.111111111111111,-0.5555555555555556,-0.2654824451632987,0.3271484375
