scope,metric,n_pairs,mean_A,mean_reduced,mean_diff_A_minus_reduced,cohen_dz,wilcoxon_p_two_sided
full_vs_ablated_pooled,confidence,18,7.444444444444445,6.722222222222222,0.7222222222222222,0.44092018593704846,0.0574951171875
full_vs_ablated_pooled,effort,18,2.611111111111111,3.6666666666666665,-1.0555555555555556,-0.47787235279125895,0.0380859375
full_vs_ablated_pooled,evidence_findability,18,7.611111111111111,6.055555555555555,1.5555555555555556,0.7335623321098481,0.0078125
full_vs_ablated_pooled,frustration,18,1.0,1.8888888888888888,-0.8888888888888888,-0.4052791725828859,0.1953125
full_vs_ablated_pooled,mental_demand,18,3.111111111111111,4.277777777777778,-1.1666666666666667,-0.5001501276118503,0.053131103515625
full_vs_ablated_pooled,nasa_workload_5d,18,2.435185185185185,3.277777777777778,-0.8425925925925926,-0.4714396849251608,0.080657958984375
full_vs_ablated_pooled,performance,18,7.611111111111111,6.611111111111111,1.0,0.36162028533978946,0.173828125
full_vs_ablated_pooled,physical_demand,18,1.9444444444444444,2.3333333333333335,-0.3888888888888889,-0.20652440473005595,0.5546875
full_vs_ablated_pooled,step_pinpointing,18,7.166666666666667,5.611111111111111,1.5555555555555556,0.6744022944937649,0.007568359375
full_vs_ablated_pooled,temporal_demand,18,2.5555555555555554,3.111111111111111,-0.5555555555555556,-0.2654824451632987,0.3271484375
