participant,total_events_A,total_events_B,delta_total_B_minus_A,duration_sec_A,duration_sec_B,delta_duration_B_minus_A
P02,783,723,-60,1717.0,296.0,-1421.0
P04,310,32,-278,363.0,27.0,-336.0
P06,85,322,237,66.0,217.0,151.0
