participant,graph_refresh,link_action_click,mouse_down,mouse_up,mouse_wheel,mousemove,node_click,node_drag,node_drag_end,node_drag_start,node_lock,zoom_pan
P02,-1,-1,2,0,2,-45,-1,40,-2,-2,0,-52
P04,0,0,0,0,0,-181,-25,-5,-25,-25,0,-17
P06,1,0,5,5,0,134,4,46,15,15,1,11
